datetime,open,high,low,close,volume
2026-03-26 14:55:00+01:00,22748.35,22772.05,22692.55,22766.65,1393
2026-03-26 15:00:00+01:00,22772.65,22775.85,22741.65,22755.85,1467
2026-03-26 15:05:00+01:00,22754.85,22760.75,22728.55,22743.15,1261
2026-03-26 15:10:00+01:00,22743.65,22760.65,22711.85,22760.45,1202
2026-03-26 15:15:00+01:00,22759.75,22769.65,22743.35,22753.85,996
2026-03-26 15:20:00+01:00,22753.55,22772.05,22742.05,22753.75,1014
2026-03-26 15:25:00+01:00,22752.75,22762.35,22739.95,22743.95,968
2026-03-26 15:30:00+01:00,22745.55,22802.05,22745.05,22797.05,1083
2026-03-26 15:35:00+01:00,22798.05,22798.65,22766.35,22781.05,1090
2026-03-26 15:40:00+01:00,22778.65,22822.25,22700.55,22713.25,1845
2026-03-26 15:45:00+01:00,22713.75,22737.15,22695.05,22717.35,1492
2026-03-26 15:50:00+01:00,22717.05,22728.55,22673.55,22673.55,1286
2026-03-26 15:55:00+01:00,22673.65,22713.95,22655.65,22700.65,1284
2026-03-26 16:00:00+01:00,22701.05,22717.95,22687.15,22690.45,1233
2026-03-26 16:05:00+01:00,22689.95,22719.05,22686.95,22694.95,1265
2026-03-26 16:10:00+01:00,22694.15,22723.35,22690.85,22706.25,923
2026-03-26 16:15:00+01:00,22705.75,22712.75,22661.95,22679.85,1032
2026-03-26 16:20:00+01:00,22678.85,22694.45,22672.55,22688.75,1002
2026-03-26 16:25:00+01:00,22688.25,22703.15,22673.85,22689.25,747
2026-03-26 16:30:00+01:00,22686.75,22691.85,22653.45,22662.25,850
2026-03-26 16:35:00+01:00,22661.75,22668.95,22646.75,22652.75,836
2026-03-26 16:40:00+01:00,22652.65,22661.95,22631.05,22647.45,731
2026-03-26 16:45:00+01:00,22647.95,22693.85,22636.75,22656.15,1055
2026-03-26 16:50:00+01:00,22655.45,22687.05,22650.45,22665.45,782
2026-03-26 16:55:00+01:00,22665.95,22665.95,22636.25,22654.15,683
2026-03-26 17:00:00+01:00,22654.55,22667.95,22649.05,22655.15,632
2026-03-26 17:05:00+01:00,22655.25,22699.05,22652.05,22697.15,661
2026-03-26 17:10:00+01:00,22697.25,22698.65,22655.45,22655.95,681
2026-03-26 17:15:00+01:00,22655.45,22655.95,22603.55,22620.95,852
2026-03-26 17:20:00+01:00,22622.85,22629.35,22576.65,22598.25,836
2026-03-26 17:25:00+01:00,22597.75,22598.45,22561.35,22583.25,834
2026-03-26 17:30:00+01:00,22585.25,22614.35,22560.35,22611.35,770
2026-03-26 17:35:00+01:00,22613.35,22618.85,22594.25,22601.35,743
2026-03-27 08:00:00+01:00,22670.25,22680.25,22655.75,22671.65,282
2026-03-27 08:05:00+01:00,22672.15,22681.75,22655.25,22673.75,301
2026-03-27 08:10:00+01:00,22672.75,22688.25,22671.25,22680.25,270
2026-03-27 08:15:00+01:00,22677.75,22681.05,22662.45,22665.95,289
2026-03-27 08:20:00+01:00,22666.45,22672.25,22654.25,22662.75,250
2026-03-27 08:25:00+01:00,22663.25,22671.25,22638.25,22644.45,331
2026-03-27 08:30:00+01:00,22643.95,22652.15,22632.25,22640.75,348
